Known As,Full Name,Overall,Value,Best Position,Nationality,Age,Club Name,Joined On
M. de Ligt,Matthijs de Ligt,85,71000000,CB,Netherlands,22,FC Bayern München,2022
P. Schick,Patrik Schick,85,67500000,ST,Czech Republic,26,Bayer 04 Leverkusen,2020
T. Hernández,Theo Hernández,85,76000000,LWB,France,24,AC Milan,2019
Diogo Jota,Diogo José Teixeira da Silva,85,76000000,ST,Portugal,25,Liverpool,2020
P. Gulácsi,Péter Gulácsi,85,26500000,GK,Hungary,32,RB Leipzig,2015
Y. Sommer,Yann Sommer,85,17500000,GK,Switzerland,33,Borussia Mönchengladbach,2014
M. Reus,Marco Reus,85,33500000,CAM,Germany,33,Borussia Dortmund,2012
L. Hernández,Lucas Hernández,84,46000000,CB,France,26,FC Bayern München,2019
Sergio Ramos,Sergio Ramos García,84,7500000,CB,Spain,36,Paris Saint-Germain,2021
A. Gómez,Alejandro Gómez,84,20000000,CAM,Argentina,34,Sevilla FC,2021
S. Handanovič,Samir Handanovič,84,4700000,GK,Slovenia,37,Inter,2012
D. Mertens,Dries Mertens,84,18000000,CF,Belgium,35,Galatasaray SK,2022
L. Suárez,Luis Suárez,84,18000000,ST,Uruguay,35,Club Nacional de Football,2022
D. Tadić,Dušan Tadić,84,26500000,LW,Serbia,33,Ajax,2018
D. Berardi,Domenico Berardi,84,45000000,RM,Italy,27,U.S. Sassuolo Calcio,2012
T. Partey,Thomas Partey,84,36000000,CDM,Ghana,29,Arsenal,2020
Y. Bounou,Yassine Bounou,84,22500000,GK,Morocco,31,Sevilla FC,2020
H. Çalhanoğlu,Hakan Çalhanoğlu,84,42000000,CM,Turkey,28,Inter,2021
M. Kovačić,Mateo Kovačić,84,42000000,CM,Croatia,28,Chelsea,2019
J. Grealish,Jack Grealish,84,46000000,LW,England,26,Manchester City,2021
Carvajal,Daniel Carvajal Ramos,84,36500000,RB,Spain,30,Real Madrid CF,2013
S. Savić,Stefan Savić,84,29000000,CB,Montenegro,31,Atlético de Madrid,2015
E. Martínez,Emiliano Martínez,84,29000000,GK,Argentina,29,Aston Villa,2020
R. Varane,Raphaël Varane,84,39000000,CB,France,29,Manchester United,2021
W. Ben Yedder,Wissam Ben Yedder,84,35500000,CF,France,31,AS Monaco,2019
L. Insigne,Lorenzo Insigne,84,35000000,CAM,Italy,31,Toronto FC,2022
M. Hummels,Mats Hummels,84,20000000,CB,Germany,33,Borussia Dortmund,2019
S. de Vrij,Stefan de Vrij,84,34500000,CB,Netherlands,30,Inter,2018
J. Matip,Joel Matip,84,34500000,CB,Cameroon,30,Liverpool,2016
K. Casteels,Koen Casteels,84,31500000,GK,Belgium,30,VfL Wolfsburg,2015
Canales,Sergio Canales Madrazo,84,35000000,RM,Spain,31,Real Betis Balompié,2018
Muniain,Iker Muniain Goñi,84,41500000,LM,Spain,29,Athletic Club de Bilbao,2009
K. Trippier,Kieran Trippier,84,30500000,RB,England,31,Newcastle United,2022
L. Bonucci,Leonardo Bonucci,84,11000000,CB,Italy,35,Juventus,2018
Á. Di María,Ángel Di María,84,20000000,RW,Argentina,34,Juventus,2022
E. Hazard,Eden Hazard,84,35000000,LW,Belgium,31,Real Madrid CF,2019
I. Perišić,Ivan Perišić,84,26500000,LM,Croatia,33,Tottenham Hotspur,2022
E. Džeko,Edin Džeko,84,14500000,ST,Bosnia and Herzegovina,36,Inter,2021
G. Chiellini,Giorgio Chiellini,84,7500000,CB,Italy,37,Los Angeles FC,2022
R. De Paul,Rodrigo Javier De Paul,84,42000000,CM,Argentina,28,Atlético de Madrid,2021
J. Bellingham,Jude Bellingham,84,81500000,CM,England,19,Borussia Dortmund,2020
F. Chiesa,Federico Chiesa,84,66500000,RM,Italy,24,Juventus,2022
M. Diaby,Moussa Diaby,84,61500000,RM,France,22,Bayer 04 Leverkusen,2019
J. Tartt,Jamie Tartt,84,85500000,CAM,England,24,AFC Richmond,2020
Rafael Leão,Rafael da Conceição Leão,84,66500000,LW,Portugal,23,AC Milan,2019
J. Koundé,Jules Koundé,84,57500000,CB,France,23,FC Barcelona,2022
Y. Tielemans,Youri Tielemans,84,52500000,CM,Belgium,25,Leicester City,2019
S. Tonali,Sandro Tonali,84,62500000,CDM,Italy,22,AC Milan,2021
L. Díaz,Luis Díaz,84,56000000,RM,Colombia,25,Liverpool,2022
Éder Militão,Éder Gabriel Militão,84,57500000,CB,Brazil,24,Real Madrid CF,2019
F. Valverde,Federico Valverde,84,66000000,CM,Uruguay,23,Real Madrid CF,2016
L. Sané,Leroy Sané,84,49500000,LM,Germany,26,FC Bayern München,2020
R. James,Reece James,84,57000000,RWB,England,22,Chelsea,2017
A. Bastoni,Alessandro Bastoni,84,60500000,CB,Italy,23,Inter,2017
K. Havertz,Kai Havertz,84,84500000,CAM,Germany,23,Chelsea,2020
João Félix,João Félix Sequeira,84,68500000,CAM,Portugal,22,Atlético de Madrid,2019
A. Hakimi,Achraf Hakimi,84,53500000,RB,Morocco,23,Paris Saint-Germain,2021
A. Davies,Alphonso Davies,84,60500000,LM,Canada,21,FC Bayern München,2019
D. Rice,Declan Rice,84,52000000,CDM,England,23,West Ham United,2016
M. Mount,Mason Mount,84,57500000,CAM,England,23,Chelsea,2016
J. Sancho,Jadon Sancho,84,61500000,CAM,England,22,Manchester United,2021
F. Tomori,Fikayo Tomori,84,60500000,CB,England,24,AC Milan,2021
F. Kessié,Franck Yannick Kessié,84,47500000,CDM,Côte d'Ivoire,25,FC Barcelona,2022
Oyarzabal,Mikel Oyarzabal Ugarte,84,53000000,LW,Spain,25,Real Sociedad,2014
L. Pellegrini,Lorenzo Pellegrini,84,55000000,CAM,Italy,26,Roma,2017
W. Ndidi,Wilfred Ndidi,84,47500000,CB,Nigeria,25,Leicester City,2017
Marcos Llorente,Marcos Llorente Moreno,84,48000000,CAM,Spain,27,Atlético de Madrid,2019
M. Ødegaard,Martin Ødegaard,84,63500000,CAM,Norway,23,Arsenal,2021
D. Vlahović,Dušan Vlahović,84,86500000,ST,Serbia,22,Juventus,2022
Diego Carlos,Diego Carlos Santos Silva,83,30500000,CB,Brazil,29,Aston Villa,2022
Angeliño,José Ángel Esmoris Tasende,83,42000000,LM,Spain,25,TSG Hoffenheim,2021
O. Dembélé,Ousmane Dembélé,83,48000000,LM,France,25,FC Barcelona,2017
Marco Asensio,Marco Asensio Willemsen,83,43000000,RW,Spain,26,Real Madrid CF,2015
Rúben Neves,Rúben Diogo da Silva Neves,83,47500000,CM,Portugal,25,Wolverhampton Wanderers,2017
Merino,Mikel Merino Zazón,83,47000000,CM,Spain,26,Real Sociedad,2018
K. Laimer,Konrad Laimer,83,38500000,CDM,Austria,25,RB Leipzig,2017
P. Kimpembe,Presnel Kimpembe,83,42000000,CB,France,26,Paris Saint-Germain,2015
Fabián,Fabián Ruiz Peña,83,44500000,CM,Spain,26,Paris Saint-Germain,2022
F. Mendy,Ferland Mendy,83,38000000,LB,France,27,Real Madrid CF,2019
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,35000000,RM,Brazil,30,Palmeiras,2022
Gabriel Jesus,Gabriel Fernando de Jesus,83,48500000,ST,Brazil,25,Arsenal,2022
Unai Simón,Unai Simón Mendibil,83,37000000,GK,Spain,25,Athletic Club de Bilbao,2015
V. Osimhen,Victor Osimhen,83,58000000,ST,Nigeria,23,Napoli,2020
P. Højbjerg,Pierre-Emile Højbjerg,83,40500000,CDM,Denmark,26,Tottenham Hotspur,2020
C. Romero,Cristian Romero,83,49500000,CB,Argentina,24,Tottenham Hotspur,2022
Raphinha,Raphael Dias Belloli,83,48000000,LM,Brazil,25,FC Barcelona,2022
Carlos Soler,Carlos Soler Barragán,83,53000000,CM,Spain,25,Paris Saint-Germain,2022
G. Kobel,Gregor Kobel,83,44000000,GK,Switzerland,24,Borussia Dortmund,2021
Pau Torres,Pau Francisco Torres,83,50500000,CB,Spain,25,Villarreal CF,2016
C. Gakpo,Cody Gakpo,83,52000000,RM,Netherlands,23,PSV,2016
R. Araujo,Ronald Araujo,83,52000000,CB,Uruguay,23,FC Barcelona,2018
R. Kent,Roy Kent,83,0,CDM,England,40,AFC Richmond,2018
D. Zapata,Duván Zapata,83,30500000,ST,Colombia,31,Atalanta,2020
Á. Correa,Ángel Correa,83,42500000,CF,Argentina,27,Atlético de Madrid,2014
J. Giménez,José María Giménez,83,38500000,CB,Uruguay,27,Atlético de Madrid,2013
T. Lemar,Thomas Lemar,83,47000000,CAM,France,26,Atlético de Madrid,2018
Bremer,Gleison Bremer Silva Nascimento,83,45500000,CB,Brazil,25,Juventus,2022
J. Cuadrado,Juan Cuadrado,83,13500000,RB,Colombia,34,Juventus,2017
P. Zieliński,Piotr Zieliński,83,36500000,CAM,Poland,28,Napoli,2016
Jesús Navas,Jesús Navas González,83,8000000,RB,Spain,36,Sevilla FC,2017
Piqué,Gerard Piqué Bernabeu,83,9500000,CB,Spain,35,FC Barcelona,2008
K. Schmeichel,Kasper Schmeichel,83,4000000,GK,Denmark,35,OGC Nice,2022
J. Henderson,Jordan Henderson,83,28500000,CM,England,32,Liverpool,2011
Fernando,Fernando Reges Mouta,83,12500000,CDM,Brazil,34,Sevilla FC,2019
L. Hrádecký,Lukáš Hrádecký,83,18000000,GK,Finland,32,Bayer 04 Leverkusen,2018
David Silva,David Josué Jiménez Silva,83,12000000,CAM,Spain,36,Real Sociedad,2020
O. Baumann,Oliver Baumann,83,18000000,GK,Germany,32,TSG Hoffenheim,2014
A. Griezmann,Antoine Griezmann,83,30500000,CAM,France,31,Atlético de Madrid,2019
Luis Alberto,Luis Alberto Romero Alconchel,83,35500000,CM,Spain,29,Lazio,2016
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,83,35500000,CF,Brazil,30,Liverpool,2015
J. Stones,John Stones,83,34500000,CB,England,28,Manchester City,2016
H. Ziyech,Hakim Ziyech,83,35500000,RW,Morocco,29,Chelsea,2020
Koke,Jorge Resurrección,83,34500000,CM,Spain,30,Atlético de Madrid,2011
Ricardo Pereira,Ricardo Barbosa Pereira,83,33000000,RB,Portugal,28,Leicester City,2018
J. Maddison,James Maddison,82,38000000,CAM,England,25,Leicester City,2018
G. Rulli,Gerónimo Rulli,82,20500000,GK,Argentina,30,Villarreal CF,2020
A. Kramarić,Andrej Kramarić,82,25500000,CF,Croatia,31,TSG Hoffenheim,2015
Rafa,Rafael A. Ferreira Silva,82,30000000,RW,Portugal,29,SL Benfica,2016
G. Di Lorenzo,Giovanni Di Lorenzo,82,27500000,RB,Italy,28,Napoli,2019
David Soria,David Soria Solís,82,21000000,GK,Spain,29,Getafe CF,2018
M. Locatelli,Manuel Locatelli,82,40000000,CM,Italy,24,Juventus,2019
R. Gosens,Robin Gosens,82,29500000,LWB,Germany,27,Inter,2017
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,82,41000000,ST,Portugal,25,Wolverhampton Wanderers,2022
J. Tah,Jonathan Tah,82,33500000,CB,Germany,26,Bayer 04 Leverkusen,2015
A. Christensen,Andreas Christensen,82,37500000,CB,Denmark,26,FC Barcelona,2022
E. Can,Emre Can,82,30500000,CB,Germany,28,Borussia Dortmund,2020
Anderson Talisca,Anderson Souza Conceição,82,31000000,CF,Brazil,28,Al Nassr,2021
J. Brandt,Julian Brandt,82,40000000,CAM,Germany,26,Borussia Dortmund,2019
T. Werner,Timo Werner,82,38000000,ST,Germany,26,RB Leipzig,2022
Gayà,José Luís Gayà Peña,82,32000000,LB,Spain,27,Valencia CF,2012
Otávio,Otávio Edmilson da Silva Monteiro,82,32500000,RM,Portugal,27,FC Porto,2014
Grimaldo,Alejandro Grimaldo García,82,33000000,LB,Spain,26,SL Benfica,2016
R. Guerreiro,Raphaël Guerreiro,82,27500000,CAM,Portugal,28,Borussia Dortmund,2016
A. Onana,André Onana,82,30500000,GK,Cameroon,26,Inter,2022
M. Ginter,Matthias Ginter,82,29000000,CB,Germany,28,Sport-Club Freiburg,2022
S. Haller,Sébastien Haller,82,31000000,ST,Côte d'Ivoire,28,Borussia Dortmund,2022
Aritz Elustondo,Aritz Elustondo,82,29000000,CB,Spain,28,Real Sociedad,2014
T. Abraham,Tammy Abraham,82,42000000,ST,England,24,Roma,2021
I. Bennacer,Ismaël Bennacer,82,40000000,CM,Algeria,24,AC Milan,2019
Álex Remiro,Alejandro Remiro Gargallo,82,28000000,GK,Spain,27,Real Sociedad,2019
D. Rojas,Dani Rojas,82,36500000,ST,Mexico,26,AFC Richmond,2019
F. Wirtz,Florian Wirtz,82,66000000,CAM,Germany,19,Bayer 04 Leverkusen,2020
Antony,Antony Matheus dos Santos,82,49000000,LM,Brazil,22,Manchester United,2022
D. Núñez,Darwin Núñez,82,61500000,ST,Uruguay,23,Liverpool,2022
N. Schlotterbeck,Nico Schlotterbeck,82,44500000,CB,Germany,22,Borussia Dortmund,2022
B. Saka,Bukayo Saka,82,60500000,LM,England,20,Arsenal,2018
Dani Olmo,Daniel Olmo Carvajal,82,46000000,CAM,Spain,24,RB Leipzig,2020
A. Tchouaméni,Aurélien Tchouaméni,82,61500000,CDM,France,22,Real Madrid CF,2022
Ferran Torres,Ferran Torres García,82,49000000,LW,Spain,22,FC Barcelona,2022
N. Mazraoui,Noussair Mazraoui,82,40500000,RM,Morocco,24,FC Bayern München,2022
A. Danjuma,Arnaut Danjuma,82,36500000,LM,Netherlands,25,Villarreal CF,2021
A. Ramsdale,Aaron Ramsdale,82,34500000,GK,England,24,Arsenal,2021
Lucas Paquetá,Lucas Tolentino Coelho de Lima,82,46000000,CAM,Brazil,24,West Ham United,2022
D. Dumfries,Denzel Dumfries,82,34500000,RWB,Netherlands,26,Inter,2021
R. Malinovskyi,Ruslan Malinovskyi,82,30500000,CF,Ukraine,29,Atalanta,2019
R. Jiménez,Raúl Jiménez,82,25500000,ST,Mexico,31,Wolverhampton Wanderers,2019
Josué Chiamulera,Josué Durval Chiamulera Vaz,82,25000000,CB,Brazil,30,Club Athletico Paranaense,2022
Lucas Mantela,Lucas Luciano Mantela Patrício,82,27000000,GK,Brazil,22,Palmeiras,2022
B. Chilwell,Ben Chilwell,82,37000000,LWB,England,25,Chelsea,2020
André Silva,André Miguel Valente da Silva,82,38000000,ST,Portugal,26,RB Leipzig,2021
C. Pulisic,Christian Pulisic,82,48000000,RM,United States,23,Chelsea,2019
J. Pickford,Jordan Pickford,82,26000000,GK,England,28,Everton,2017
Sergi Darder,Sergi Darder Moll,82,30500000,CM,Spain,28,RCD Espanyol de Barcelona,2018
W. Orban,Willi Orban,82,25500000,CB,Hungary,29,RB Leipzig,2015
I. Gueye,Idrissa Gueye,82,20500000,CDM,Senegal,32,Everton,2022
Z. Ibrahimović,Zlatan Ibrahimović,82,0,ST,Sweden,40,AC Milan,2020
Iñigo Martínez,Iñigo Martínez Berridi,82,21000000,CB,Spain,31,Athletic Club de Bilbao,2018
Ł. Fabiański,Łukasz Fabiański,82,3400000,GK,Poland,37,West Ham United,2018
I. Rakitić,Ivan Rakitić,82,14000000,CM,Croatia,34,Sevilla FC,2020
D. Payet,Dimitri Payet,82,12500000,CAM,France,35,Olympique de Marseille,2017
Rui Patrício,Rui Pedro dos Santos Patrício,82,5000000,GK,Portugal,34,Roma,2021
O. Giroud,Olivier Giroud,82,13000000,ST,France,35,AC Milan,2021
S. Kjær,Simon Kjær,82,14500000,CB,Denmark,33,AC Milan,2020
Yuri Berchiche,Yuri Berchiche Izeta,82,21000000,LB,Spain,32,Athletic Club de Bilbao,2018
T. Alderweireld,Toby Alderweireld,82,14500000,CB,Belgium,33,Royal Antwerp FC,2022
M. Arnautović,Marko Arnautović,82,19500000,ST,Austria,33,Bologna,2021
Azpilicueta,César Azpilicueta Tanco,82,20000000,CB,Spain,32,Chelsea,2012
Coutinho,Philippe Coutinho Correia,82,29500000,CAM,Brazil,30,Aston Villa,2022
C. Eriksen,Christian Eriksen,82,29000000,CM,Denmark,30,Manchester United,2022
Raúl Albiol,Raúl Albiol Tortajada,82,5500000,CB,Spain,36,Villarreal CF,2019
S. Coates,Sebastián Coates,82,21000000,CB,Uruguay,31,Sporting CP,2017
L. Digne,Lucas Digne,82,27500000,LB,France,28,Aston Villa,2022
Isco,Francisco Román Alarcón Suárez,82,29500000,CAM,Spain,30,Sevilla FC,2022
G. Kondogbia,Geoffrey Kondogbia,82,29500000,CDM,Central African Republic,29,Atlético de Madrid,2020
Gabriel Paulista,Gabriel Armando de Abreu,82,21000000,CB,Brazil,31,Valencia CF,2017
Nacho Fernández,José Ignacio Fernández Iglesias,82,20000000,CB,Spain,32,Real Madrid CF,2010
K. Volland,Kevin Volland,82,30500000,ST,Germany,29,AS Monaco,2020
L. Spinazzola,Leonardo Spinazzola,82,27000000,LWB,Italy,29,Roma,2019
S. Berghuis,Steven Berghuis,82,29500000,CAM,Netherlands,30,Ajax,2021
A. Lopes,Anthony Lopes,82,16000000,GK,Portugal,31,Olympique Lyonnais,2011
L. Muriel,Luis Muriel,82,25500000,ST,Colombia,31,Atalanta,2019
W. Zaha,Wilfried Zaha,82,30000000,LW,Côte d'Ivoire,29,Crystal Palace,2015
F. Acerbi,Francesco Acerbi,82,10000000,CB,Italy,34,Inter,2018
E. Ndicka,Evan Ndicka,81,34000000,CB,France,22,Eintracht Frankfurt,2018
T. Souček,Tomáš Souček,81,28000000,CB,Czech Republic,27,West Ham United,2020
A. Barák,Antonín Barák,81,30000000,CAM,Czech Republic,27,Fiorentina,2021
M. Terrier,Martin Terrier,81,34000000,ST,France,25,Stade Rennais FC,2020
D. Raum,David Raum,81,34500000,LWB,Germany,24,RB Leipzig,2022
Y. Bissouma,Yves Bissouma,81,34500000,CDM,Mali,25,Tottenham Hotspur,2022
A. Areola,Alphonse Areola,81,20000000,GK,France,29,West Ham United,2022
I. Sangaré,Ibrahim Sangaré,81,35500000,CDM,Côte d'Ivoire,24,PSV,2020
J. Corona,Jesús Corona,81,25500000,RW,Mexico,29,Sevilla FC,2022
T. Delaney,Thomas Delaney,81,21500000,CDM,Denmark,30,Sevilla FC,2021
A. Lacazette,Alexandre Lacazette,81,22000000,ST,France,31,Olympique Lyonnais,2022
N. Zaniolo,Nicolò Zaniolo,81,53000000,CAM,Italy,22,Roma,2018
Neto,Norberto Murara Neto,81,13000000,GK,Brazil,32,AFC Bournemouth,2022
I. Konaté,Ibrahima Konaté,81,48000000,CB,France,23,Liverpool,2021
Pedro Porro,Pedro Antonio Porro Sauceda,81,38500000,RWB,Spain,22,Sporting CP,2022
Cucurella,Marc Cucurella Saseta,81,34500000,LWB,Spain,23,Chelsea,2022
L. Martínez,Lisandro Martínez,81,35000000,CDM,Argentina,24,Manchester United,2022
Matheus Cunha,Matheus Santos Carneiro Da Cunha,81,39500000,CAM,Brazil,23,Atlético de Madrid,2021
Pedro Gonçalves,Pedro António Pereira Gonçalves,81,39000000,CAM,Portugal,24,Sporting CP,2020
M. Taremi,Mehdi Taremi,81,25500000,ST,Iran,29,FC Porto,2020
Rodrygo,Rodrygo Silva de Goes,81,52500000,RM,Brazil,21,Real Madrid CF,2019
E. Tapsoba,Edmond Tapsoba,81,35000000,CB,Burkina Faso,23,Bayer 04 Leverkusen,2020
D. Kulusevski,Dejan Kulusevski,81,41500000,CAM,Sweden,22,Tottenham Hotspur,2020
Bruno Guimarães,Bruno Guimarães Moura,81,38500000,CM,Brazil,24,Newcastle United,2022
J. Gvardiol,Joško Gvardiol,81,53000000,CB,Croatia,20,RB Leipzig,2021
J. Musiala,Jamal Musiala,81,55500000,CAM,Germany,19,FC Bayern München,2020
S. Obisanya,Sam Obisanya,81,52500000,RM,Nigeria,22,AFC Richmond,2019
Pablo Sarabia,Pablo Sarabia García,81,25000000,RW,Spain,30,Paris Saint-Germain,2019
Marc Bartra,Marc Bartra Aregall,81,17500000,CB,Spain,31,Trabzonspor,2022
Felipe,Felipe Augusto de Almeida Monteiro,81,12500000,CB,Brazil,33,Atlético de Madrid,2019
H. Maguire,Harry Maguire,81,24000000,CB,England,29,Manchester United,2019
Heberto Gaúcho,Juan Heberto Mestres de Mesquita,81,24500000,CB,Brazil,26,Clube Atlético Mineiro,2022
Oswaldinato,Marvin Oswaldo Rangel Azevedo,81,25500000,ST,Brazil,30,Flamengo,2022
Nailton Padrenda,Nailton Padrenda Mendes,81,28000000,CAM,Brazil,26,Clube Atlético Mineiro,2022
